127.0.0.1 - - [18/Apr/2019:13:41:20 +0800] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [18/Apr/2019:13:42:10 +0800] "GET /web/ HTTP/1.1" 200 1270
0:0:0:0:0:0:0:1 - - [18/Apr/2019:13:42:11 +0800] "GET /web/images/login.jpg HTTP/1.1" 200 167843
0:0:0:0:0:0:0:1 - - [18/Apr/2019:13:42:24 +0800] "POST /web/main.jsp HTTP/1.1" 200 2657
0:0:0:0:0:0:0:1 - - [18/Apr/2019:13:42:24 +0800] "GET /web/js/jquery.min.js HTTP/1.1" 200 97163
0:0:0:0:0:0:0:1 - - [18/Apr/2019:13:42:24 +0800] "GET /web/css/easyui.css HTTP/1.1" 200 71588
0:0:0:0:0:0:0:1 - - [18/Apr/2019:13:42:24 +0800] "GET /web/css/demo.css HTTP/1.1" 200 388
0:0:0:0:0:0:0:1 - - [18/Apr/2019:13:42:24 +0800] "GET /web/js/jquery.easyui.min.js HTTP/1.1" 200 452342
0:0:0:0:0:0:0:1 - - [18/Apr/2019:13:42:24 +0800] "GET /web/images/main.jpg HTTP/1.1" 200 88203
0:0:0:0:0:0:0:1 - - [18/Apr/2019:13:42:24 +0800] "GET /web/css/icon.css HTTP/1.1" 200 2506
0:0:0:0:0:0:0:1 - - [18/Apr/2019:13:42:25 +0800] "GET /web/css/images/blank.gif HTTP/1.1" 200 43
0:0:0:0:0:0:0:1 - - [18/Apr/2019:13:42:25 +0800] "GET /web/css/images/layout_arrows.png HTTP/1.1" 200 319
0:0:0:0:0:0:0:1 - - [18/Apr/2019:13:42:25 +0800] "GET /web/css/images/tabs_icons.png HTTP/1.1" 200 150
0:0:0:0:0:0:0:1 - - [18/Apr/2019:13:42:25 +0800] "GET /web/css/images/panel_tools.png HTTP/1.1" 200 852
0:0:0:0:0:0:0:1 - - [18/Apr/2019:13:42:25 +0800] "GET /web/css/images/tree_icons.png HTTP/1.1" 200 3115
0:0:0:0:0:0:0:1 - - [18/Apr/2019:13:42:27 +0800] "GET /web/dept.jsp HTTP/1.1" 200 7090
0:0:0:0:0:0:0:1 - - [18/Apr/2019:13:42:28 +0800] "GET /web/css/images/pagination_icons.png HTTP/1.1" 200 628
0:0:0:0:0:0:0:1 - - [18/Apr/2019:13:42:28 +0800] "GET /web/css/icons/edit_remove.png HTTP/1.1" 200 625
0:0:0:0:0:0:0:1 - - [18/Apr/2019:13:42:28 +0800] "GET /web/css/icons/edit_add.png HTTP/1.1" 200 1088
0:0:0:0:0:0:0:1 - - [18/Apr/2019:13:42:28 +0800] "GET /web/css/images/loading.gif HTTP/1.1" 200 1737
0:0:0:0:0:0:0:1 - - [18/Apr/2019:13:42:28 +0800] "GET /web/css/icons/search.png HTTP/1.1" 200 813
0:0:0:0:0:0:0:1 - - [18/Apr/2019:13:42:28 +0800] "GET /web/css/icons/pencil.png HTTP/1.1" 200 713
0:0:0:0:0:0:0:1 - - [18/Apr/2019:13:42:28 +0800] "GET /web/css/icons/ok.png HTTP/1.1" 200 883
0:0:0:0:0:0:0:1 - - [18/Apr/2019:13:42:28 +0800] "GET /web/css/icons/cancel.png HTTP/1.1" 200 1133
0:0:0:0:0:0:0:1 - - [18/Apr/2019:13:42:28 +0800] "POST /web/dept/getdeptsjson.do HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [18/Apr/2019:13:42:34 +0800] "GET /web/emp.jsp HTTP/1.1" 200 265
0:0:0:0:0:0:0:1 - - [18/Apr/2019:13:42:35 +0800] "GET /web/user.jsp HTTP/1.1" 200 265
